epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.48898,1.53975,4.35035,1.4652,0,0,0,0,1.87427,4.94472,1.74898,4e-05,4e-05,4e-05
2,17.1658,1.33854,4.06166,1.28723,0.00333,1,0.00603,0.00223,1.6802,4.57836,1.59841,9.901e-05,9.901e-05,9.901e-05
3,26.7956,1.36423,3.58507,1.30762,0.00333,1,0.11607,0.07963,1.71826,4.46995,1.44904,0.000156832,0.000156832,0.000156832
4,36.0242,1.2215,3.04542,1.2038,0.00333,1,0.61786,0.24498,1.45963,3.98032,1.19707,0.000213466,0.000213466,0.000213466
5,45.6852,1.32132,2.99106,1.22575,0.00333,1,0.73571,0.3545,2.00044,4.6355,1.20021,0.000268912,0.000268912,0.000268912
6,59.9353,1.31745,2.28908,1.15112,0.00333,1,0.9125,0.44107,1.94952,4.59419,1.10336,0.00032317,0.00032317,0.00032317
7,70.6697,1.24467,2.51412,1.14469,0.00333,1,0.9125,0.48211,1.76274,4.39625,1.05089,0.00037624,0.00037624,0.00037624
8,80.7448,1.27343,2.14892,1.11562,0.00333,1,0.9125,0.44927,1.83729,4.26568,1.05829,0.000428122,0.000428122,0.000428122
9,90.1247,1.14858,1.99179,1.07412,0.00333,1,0.59075,0.3301,1.75237,4.09954,1.10265,0.000478816,0.000478816,0.000478816
10,99.7442,1.18654,1.79007,1.11544,0.00333,1,0.51179,0.20865,1.6357,4.16011,1.1409,0.000528322,0.000528322,0.000528322
11,110.259,1.11487,1.77045,1.11102,0.00333,1,0.01304,0.00557,1.50631,4.32908,1.24879,0.00057664,0.00057664,0.00057664
12,120.3,1.16663,1.77933,1.03742,0.00333,1,0.00699,0.00384,1.45675,4.30381,1.2705,0.00062377,0.00062377,0.00062377
13,129.724,1.11963,2.07032,1.14089,0.00333,1,0.00677,0.00429,1.45562,4.51536,1.28859,0.000669712,0.000669712,0.000669712
14,139.596,1.24558,1.8463,1.12791,0.00333,1,0.00666,0.00367,1.41419,4.44126,1.3358,0.000714466,0.000714466,0.000714466
15,149.972,1.10408,1.86077,1.07198,0.00333,1,0.00674,0.00371,1.29128,4.31245,1.19434,0.000758032,0.000758032,0.000758032
16,159.596,1.09983,1.69473,1.09461,0.00333,1,0.00683,0.00433,1.12721,4.27578,1.05896,0.00080041,0.00080041,0.00080041
17,170.098,0.97303,1.78972,1.05109,0.00333,1,0.00678,0.00452,1.02636,4.13198,0.9762,0.0008416,0.0008416,0.0008416
18,179.93,1.19325,1.87139,1.10047,0.00333,1,0.00712,0.00508,1.02715,4.08976,0.98011,0.000881602,0.000881602,0.000881602
19,189.619,1.10862,1.89554,1.03957,0.00333,1,0.0073,0.00474,1.13604,4.151,1.02571,0.000920416,0.000920416,0.000920416
20,199.699,1.21802,1.76999,1.14948,0.00333,1,0.33995,0.20409,1.20233,4.02833,1.08855,0.000958042,0.000958042,0.000958042
21,209.501,1.09741,1.86022,1.11963,0.00333,1,0.36382,0.1728,1.24307,3.89891,1.20796,0.00099448,0.00099448,0.00099448
22,218.796,1.18177,1.68817,1.15191,0.00333,1,0.09581,0.04666,1.28253,3.84682,1.15899,0.00102973,0.00102973,0.00102973
23,228.481,1.13867,1.62492,1.06896,0.00333,1,0.34214,0.20428,1.30127,3.95678,1.09021,0.00106379,0.00106379,0.00106379
24,237.467,0.95144,1.50482,1.01309,0.00333,1,0.34722,0.19629,1.33391,3.79026,1.12373,0.00109667,0.00109667,0.00109667
25,247.37,1.10393,1.45633,1.03641,0.00333,1,0.66692,0.4008,1.255,3.8021,1.00642,0.00112835,0.00112835,0.00112835
26,256.453,1.21782,1.63571,1.07734,0.00333,1,0.36828,0.22292,1.18857,3.90455,0.98211,0.00115885,0.00115885,0.00115885
27,272.155,1.14194,1.56539,1.08063,0.00333,1,0.03382,0.01482,1.25741,3.98349,1.02625,0.00118816,0.00118816,0.00118816
28,289.633,1.16212,1.6497,1.06531,0.00333,1,0.33821,0.16971,1.32249,3.95791,1.07121,0.00121628,0.00121628,0.00121628
29,307.468,1.17016,1.49082,1.05399,0.00333,1,0.33821,0.16971,1.32249,3.95791,1.07121,0.00124322,0.00124322,0.00124322
30,323.341,1.10515,1.42273,1.03828,0.00333,1,0.33819,0.20275,1.34993,3.77102,1.02744,0.00126896,0.00126896,0.00126896
31,341.762,1.01563,1.38495,1.08099,0.00333,1,0.45187,0.28564,1.39068,3.69568,0.99514,0.00129352,0.00129352,0.00129352
32,362.467,1.08294,1.35472,1.09192,0.00333,1,0.3785,0.25206,1.32408,3.73442,1.0264,0.00131689,0.00131689,0.00131689
33,380.566,1.12833,1.37797,1.12161,0.00333,1,0.3785,0.25206,1.32408,3.73442,1.0264,0.00133907,0.00133907,0.00133907
34,396.58,1.02127,1.30091,1.02119,0.00333,1,0.69038,0.31018,1.35407,3.65423,1.05428,0.0013466,0.0013466,0.0013466
35,413.293,1.17138,1.44067,1.03165,0.00333,1,0.731,0.39123,1.40852,3.38327,1.08777,0.0013268,0.0013268,0.0013268
36,429.56,1.00024,1.28566,1.04293,1,0.90468,0.995,0.61941,1.3353,2.89901,1.02866,0.001307,0.001307,0.001307
37,438.986,1.15278,1.2363,1.03908,1,0.90468,0.995,0.61941,1.3353,2.89901,1.02866,0.0012872,0.0012872,0.0012872
38,448.897,0.93181,1.32836,1.00782,1,0.8948,0.995,0.70807,1.29257,2.83456,0.9959,0.0012674,0.0012674,0.0012674
39,458.63,0.9822,1.09862,1.01349,1,0.61626,0.995,0.57582,1.16676,3.17244,0.95718,0.0012476,0.0012476,0.0012476
40,468.078,0.9492,1.39116,0.99485,0.70763,0.66667,0.67803,0.40777,1.19653,3.16034,1.00114,0.0012278,0.0012278,0.0012278
41,476.822,0.98041,1.20259,1.00043,0.70763,0.66667,0.67803,0.40777,1.19653,3.16034,1.00114,0.001208,0.001208,0.001208
42,486.015,0.99114,1.14419,1.00607,0.91593,0.66667,0.69329,0.41523,1.1722,2.86355,1.0284,0.0011882,0.0011882,0.0011882
43,495.319,0.9737,1.143,0.98844,0.91529,0.66667,0.9125,0.5564,1.25297,2.65943,1.05791,0.0011684,0.0011684,0.0011684
44,504.297,1.00575,1.22106,1.05153,1,0.6475,0.995,0.61379,1.3617,2.83835,1.06442,0.0011486,0.0011486,0.0011486
45,513.11,0.80313,0.99944,0.96819,1,0.6475,0.995,0.61379,1.3617,2.83835,1.06442,0.0011288,0.0011288,0.0011288
